"","Ensembl","Symbols","Entrez"
"ENSMUSG00000070953 - Rabepk","ENSMUSG00000070953","Rabepk","227746"
"ENSMUSG00000035949 - Fbxw2","ENSMUSG00000035949","Fbxw2","30050"
"ENSMUSG00000026869 - Psmd5","ENSMUSG00000026869","Psmd5","66998"
"ENSMUSG00000026870 - Cutal","ENSMUSG00000026870","Cutal","77996"
"ENSMUSG00000026873 - Phf19","ENSMUSG00000026873","Phf19","74016"
"ENSMUSG00000026875 - Traf1","ENSMUSG00000026875","Traf1","22029"
"ENSMUSG00000026874 - Hc","ENSMUSG00000026874","Hc","15139"
"ENSMUSG00000035875 - AI182371","ENSMUSG00000035875","AI182371","98870"
"ENSMUSG00000057110 - Cntrl","ENSMUSG00000057110","Cntrl","26920"
"ENSMUSG00000026878 - Rab14","ENSMUSG00000026878","Rab14","68365"
"ENSMUSG00000026879 - Gsn","ENSMUSG00000026879","Gsn","227753"
"ENSMUSG00000026880 - Stom","ENSMUSG00000026880","Stom","13830"
"ENSMUSG00000075391 - Glo1-ps","ENSMUSG00000075391","Glo1-ps","654354"
"ENSMUSG00000035778 - Ggta1","ENSMUSG00000035778","Ggta1","14594"
"ENSMUSG00000026883 - Dab2ip","ENSMUSG00000026883","Dab2ip","69601"
"ENSMUSG00000026885 - Ttll11","ENSMUSG00000026885","Ttll11","74410"
"ENSMUSG00000086449 - 9030204H09Rik","ENSMUSG00000086449","9030204H09Rik","77665"
"ENSMUSG00000026895 - Ndufa8","ENSMUSG00000026895","Ndufa8","68375"
"ENSMUSG00000026894 - Morn5","ENSMUSG00000026894","Morn5","75495"
"ENSMUSG00000026890 - Lhx6","ENSMUSG00000026890","Lhx6","16874"
"ENSMUSG00000026889 - Rbm18","ENSMUSG00000026889","Rbm18","67889"
"ENSMUSG00000026887 - Mrrf","ENSMUSG00000026887","Mrrf","67871"
"ENSMUSG00000047250 - Ptgs1","ENSMUSG00000047250","Ptgs1","19224"
"ENSMUSG00000083716 - Gm13436","ENSMUSG00000083716","Gm13436","624088"
"ENSMUSG00000009030 - Pdcl","ENSMUSG00000009030","Pdcl","67466"
"ENSMUSG00000075376 - Rc3h2","ENSMUSG00000075376","Rc3h2","319817"
"ENSMUSG00000066798 - Zbtb6","ENSMUSG00000066798","Zbtb6","241322"
"ENSMUSG00000050714 - Zbtb26","ENSMUSG00000050714","Zbtb26","320633"
"ENSMUSG00000035437 - Rabgap1","ENSMUSG00000035437","Rabgap1","227800"
"ENSMUSG00000026915 - Strbp","ENSMUSG00000026915","Strbp","20744"
"ENSMUSG00000053164 - Gpr21","ENSMUSG00000053164","Gpr21","338346"
"ENSMUSG00000035403 - Crb2","ENSMUSG00000035403","Crb2","241324"
"ENSMUSG00000035392 - Dennd1a","ENSMUSG00000035392","Dennd1a","227801"
"ENSMUSG00000000247 - Lhx2","ENSMUSG00000000247","Lhx2","16870"
"ENSMUSG00000026749 - Nek6","ENSMUSG00000026749","Nek6","59126"
"ENSMUSG00000026750 - Psmb7","ENSMUSG00000026750","Psmb7","19177"
"ENSMUSG00000026751 - Nr5a1","ENSMUSG00000026751","Nr5a1","26423"
"ENSMUSG00000063972 - Nr6a1","ENSMUSG00000063972","Nr6a1","14536"
"ENSMUSG00000046618 - Olfml2a","ENSMUSG00000046618","Olfml2a","241327"
"ENSMUSG00000035295 - Wdr38","ENSMUSG00000035295","Wdr38","76646"
"ENSMUSG00000062997 - Rpl35","ENSMUSG00000062997","Rpl35","66489"
"ENSMUSG00000026755 - Arpc5l","ENSMUSG00000026755","Arpc5l","74192"
"ENSMUSG00000026754 - Golga1","ENSMUSG00000026754","Golga1","76899"
"ENSMUSG00000035236 - Scai","ENSMUSG00000035236","Scai","320271"
"ENSMUSG00000026753 - Ppp6c","ENSMUSG00000026753","Ppp6c","67857"
"ENSMUSG00000080994 - Gm13464","ENSMUSG00000080994","Gm13464","100041245"
"ENSMUSG00000026866 - Kynu","ENSMUSG00000026866","Kynu","70789"
"ENSMUSG00000049744 - Arhgap15","ENSMUSG00000049744","Arhgap15","76117"
"ENSMUSG00000036890 - Gtdc1","ENSMUSG00000036890","Gtdc1","227835"
"ENSMUSG00000083849 - Gm13477","ENSMUSG00000083849","Gm13477","100416285"
"ENSMUSG00000026872 - Zeb2","ENSMUSG00000026872","Zeb2","24136"
"ENSMUSG00000052248 - Zeb2os","ENSMUSG00000052248","Zeb2os","433424"
"ENSMUSG00000086644 - Gm13470","ENSMUSG00000086644","Gm13470","102633065"
"ENSMUSG00000086353 - Gm13481","ENSMUSG00000086353","Gm13481","102633236"
"ENSMUSG00000052155 - Acvr2a","ENSMUSG00000052155","Acvr2a","11480"
"ENSMUSG00000026761 - Orc4","ENSMUSG00000026761","Orc4","26428"
"ENSMUSG00000036792 - Mbd5","ENSMUSG00000036792","Mbd5","109241"
"ENSMUSG00000069495 - Epc2","ENSMUSG00000069495","Epc2","227867"
"ENSMUSG00000026764 - Kif5c","ENSMUSG00000026764","Kif5c","16574"
"ENSMUSG00000026765 - Lypd6b","ENSMUSG00000026765","Lypd6b","71897"
"ENSMUSG00000050447 - Lypd6","ENSMUSG00000050447","Lypd6","320343"
"ENSMUSG00000026766 - Mmadhc","ENSMUSG00000026766","Mmadhc","109129"
"ENSMUSG00000085862 - Gm13483","ENSMUSG00000085862","Gm13483","100502624"
"ENSMUSG00000083270 - Gm13498","ENSMUSG00000083270","Gm13498","227885"
"ENSMUSG00000017144 - Rnd3","ENSMUSG00000017144","Rnd3","74194"
"ENSMUSG00000036249 - Rbm43","ENSMUSG00000036249","Rbm43","71684"
"ENSMUSG00000026946 - Nmi","ENSMUSG00000026946","Nmi","64685"
"ENSMUSG00000053475 - Tnfaip6","ENSMUSG00000053475","Tnfaip6","21930"
"ENSMUSG00000036202 - Rif1","ENSMUSG00000036202","Rif1","51869"
"ENSMUSG00000026950 - Neb","ENSMUSG00000026950","Neb","17996"
"ENSMUSG00000036093 - Arl5a","ENSMUSG00000036093","Arl5a","75423"
"ENSMUSG00000085315 - A430018G15Rik","ENSMUSG00000085315","A430018G15Rik","115489452"
"ENSMUSG00000017412 - Cacnb4","ENSMUSG00000017412","Cacnb4","12298"
"ENSMUSG00000055371 - Stam2","ENSMUSG00000055371","Stam2","56324"
"ENSMUSG00000036053 - Fmnl2","ENSMUSG00000036053","Fmnl2","71409"
"ENSMUSG00000061136 - Prpf40a","ENSMUSG00000061136","Prpf40a","56194"
"ENSMUSG00000026960 - Arl6ip6","ENSMUSG00000026960","Arl6ip6","65103"
"ENSMUSG00000075334 - Rprm","ENSMUSG00000075334","Rprm","67874"
"ENSMUSG00000026824 - Kcnj3","ENSMUSG00000026824","Kcnj3","16519"
"ENSMUSG00000026826 - Nr4a2","ENSMUSG00000026826","Nr4a2","18227"
"ENSMUSG00000084938 - BB557941","ENSMUSG00000084938","BB557941","767815"
"ENSMUSG00000026827 - Gpd2","ENSMUSG00000026827","Gpd2","14571"
"ENSMUSG00000026828 - Galnt5","ENSMUSG00000026828","Galnt5","241391"
"ENSMUSG00000026830 - Ermn","ENSMUSG00000026830","Ermn","77767"
"ENSMUSG00000026832 - Cytip","ENSMUSG00000026832","Cytip","227929"
"ENSMUSG00000086862 - Gm13546","ENSMUSG00000086862","Gm13546","100042926"
"ENSMUSG00000026834 - Acvr1c","ENSMUSG00000026834","Acvr1c","269275"
"ENSMUSG00000026836 - Acvr1","ENSMUSG00000026836","Acvr1","11477"
"ENSMUSG00000026839 - Upp2","ENSMUSG00000026839","Upp2","76654"
"ENSMUSG00000036641 - Ccdc148","ENSMUSG00000036641","Ccdc148","227933"
"ENSMUSG00000026991 - Pkp4","ENSMUSG00000026991","Pkp4","227937"
"ENSMUSG00000026989 - Dapl1","ENSMUSG00000026989","Dapl1","76747"
"ENSMUSG00000035168 - Tanc1","ENSMUSG00000035168","Tanc1","66860"
"ENSMUSG00000026988 - Wdsub1","ENSMUSG00000026988","Wdsub1","72137"
"ENSMUSG00000026987 - Baz2b","ENSMUSG00000026987","Baz2b","407823"
