"","Ensembl","Symbols","Entrez"
"ENSMUSG00000035372 - 1810055G02Rik","ENSMUSG00000035372","1810055G02Rik","72056"
"ENSMUSG00000045098 - Kmt5b","ENSMUSG00000045098","Kmt5b","225888"
"ENSMUSG00000024843 - Chka","ENSMUSG00000024843","Chka","12660"
"ENSMUSG00000001750 - Tcirg1","ENSMUSG00000001750","Tcirg1","27060"
"ENSMUSG00000059734 - Ndufs8","ENSMUSG00000059734","Ndufs8","225887"
"ENSMUSG00000024885 - Aldh3b1","ENSMUSG00000024885","Aldh3b1","67689"
"ENSMUSG00000036908 - Unc93b1","ENSMUSG00000036908","Unc93b1","54445"
"ENSMUSG00000037263 - Aldh3b3","ENSMUSG00000037263","Aldh3b3","73458"
"ENSMUSG00000075296 - Aldh3b2","ENSMUSG00000075296","Aldh3b2","621603"
"ENSMUSG00000024866 - Acy3","ENSMUSG00000024866","Acy3","71670"
"ENSMUSG00000037477 - Tbx10","ENSMUSG00000037477","Tbx10","109575"
"ENSMUSG00000110949 - Nudt8","ENSMUSG00000110949","Nudt8","66387"
"ENSMUSG00000024871 - Doc2g","ENSMUSG00000024871","Doc2g","60425"
"ENSMUSG00000037916 - Ndufv1","ENSMUSG00000037916","Ndufv1","17995"
"ENSMUSG00000060803 - Gstp1","ENSMUSG00000060803","Gstp1","14870"
"ENSMUSG00000038155 - Gstp2","ENSMUSG00000038155","Gstp2","14869"
"ENSMUSG00000058216 - Gstp3","ENSMUSG00000058216","Gstp3","225884"
"ENSMUSG00000024856 - Cdk2ap2","ENSMUSG00000024856","Cdk2ap2","52004"
"ENSMUSG00000024851 - Pitpnm1","ENSMUSG00000024851","Pitpnm1","18739"
"ENSMUSG00000024847 - Aip","ENSMUSG00000024847","Aip","11632"
"ENSMUSG00000024845 - Tmem134","ENSMUSG00000024845","Tmem134","66990"
"ENSMUSG00000024842 - Cabp4","ENSMUSG00000024842","Cabp4","73660"
"ENSMUSG00000024835 - Coro1b","ENSMUSG00000024835","Coro1b","23789"
"ENSMUSG00000024830 - Rps6kb2","ENSMUSG00000024830","Rps6kb2","58988"
"ENSMUSG00000075289 - Carns1","ENSMUSG00000075289","Carns1","107239"
"ENSMUSG00000040247 - Tbc1d10c","ENSMUSG00000040247","Tbc1d10c","108995"
"ENSMUSG00000040385 - Ppp1ca","ENSMUSG00000040385","Ppp1ca","19045"
"ENSMUSG00000024824 - Rad9a","ENSMUSG00000024824","Rad9a","19367"
"ENSMUSG00000118245 - Gm30082","ENSMUSG00000118245","Gm30082","102631855"
"ENSMUSG00000040663 - Clcf1","ENSMUSG00000040663","Clcf1","56708"
"ENSMUSG00000024854 - Pold4","ENSMUSG00000024854","Pold4","69745"
"ENSMUSG00000034616 - Ssh3","ENSMUSG00000034616","Ssh3","245857"
"ENSMUSG00000005986 - Ankrd13d","ENSMUSG00000005986","Ankrd13d","68423"
"ENSMUSG00000024858 - Grk2","ENSMUSG00000024858","Grk2","110355"
"ENSMUSG00000054611 - Kdm2a","ENSMUSG00000054611","Kdm2a","225876"
"ENSMUSG00000041845 - Rhod","ENSMUSG00000041845","Rhod","11854"
"ENSMUSG00000087132 - A930001C03Rik","ENSMUSG00000087132","A930001C03Rik","319314"
"ENSMUSG00000049303 - Syt12","ENSMUSG00000049303","Syt12","171180"
"ENSMUSG00000042041 - 2010003K11Rik","ENSMUSG00000042041","2010003K11Rik","69861"
"ENSMUSG00000024892 - Pcx","ENSMUSG00000024892","Pcx","18563"
"ENSMUSG00000045045 - Lrfn4","ENSMUSG00000045045","Lrfn4","225875"
"ENSMUSG00000024889 - Rce1","ENSMUSG00000024889","Rce1","19671"
"ENSMUSG00000071691 - Gm960","ENSMUSG00000071691","Gm960","381196"
"ENSMUSG00000067889 - Sptbn2","ENSMUSG00000067889","Sptbn2","20743"
"ENSMUSG00000096370 - Gm21992","ENSMUSG00000096370","Gm21992","102902673"
"ENSMUSG00000033760 - Rbm4b","ENSMUSG00000033760","Rbm4b","66704"
"ENSMUSG00000094936 - Rbm4","ENSMUSG00000094936","Rbm4","19653"
"ENSMUSG00000006456 - Rbm14","ENSMUSG00000006456","Rbm14","56275"
"ENSMUSG00000034108 - Ccs","ENSMUSG00000034108","Ccs","12460"
"ENSMUSG00000067872 - Ccdc87","ENSMUSG00000067872","Ccdc87","399599"
"ENSMUSG00000083282 - Ctsf","ENSMUSG00000083282","Ctsf","56464"
"ENSMUSG00000006457 - Actn3","ENSMUSG00000006457","Actn3","11474"
"ENSMUSG00000006463 - Zdhhc24","ENSMUSG00000006463","Zdhhc24","70605"
"ENSMUSG00000006464 - Bbs1","ENSMUSG00000006464","Bbs1","52028"
"ENSMUSG00000063904 - Dpp3","ENSMUSG00000063904","Dpp3","75221"
"ENSMUSG00000024901 - Peli3","ENSMUSG00000024901","Peli3","240518"
"ENSMUSG00000024902 - Mrpl11","ENSMUSG00000024902","Mrpl11","66419"
"ENSMUSG00000045903 - Npas4","ENSMUSG00000045903","Npas4","225872"
"ENSMUSG00000024891 - Slc29a2","ENSMUSG00000024891","Slc29a2","13340"
"ENSMUSG00000047379 - B4gat1","ENSMUSG00000047379","B4gat1","108902"
"ENSMUSG00000080268 - Brms1","ENSMUSG00000080268","Brms1","107392"
"ENSMUSG00000024883 - Rin1","ENSMUSG00000024883","Rin1","225870"
"ENSMUSG00000056481 - Cd248","ENSMUSG00000056481","Cd248","70445"
"ENSMUSG00000061451 - Tmem151a","ENSMUSG00000061451","Tmem151a","381199"
"ENSMUSG00000024875 - Yif1a","ENSMUSG00000024875","Yif1a","68090"
"ENSMUSG00000024873 - Cnih2","ENSMUSG00000024873","Cnih2","12794"
"ENSMUSG00000024870 - Rab1b","ENSMUSG00000024870","Rab1b","76308"
"ENSMUSG00000024862 - Klc2","ENSMUSG00000024862","Klc2","16594"
"ENSMUSG00000117729 - Gm5242","ENSMUSG00000117729","Gm5242","383424"
"ENSMUSG00000024855 - Pacs1","ENSMUSG00000024855","Pacs1","107975"
"ENSMUSG00000024853 - Sf3b2","ENSMUSG00000024853","Sf3b2","319322"
"ENSMUSG00000047658 - Gal3st3","ENSMUSG00000047658","Gal3st3","545276"
"ENSMUSG00000118263 - Gm42064","ENSMUSG00000118263","Gm42064","105246843"
"ENSMUSG00000024846 - Cst6","ENSMUSG00000024846","Cst6","73720"
"ENSMUSG00000024844 - Banf1","ENSMUSG00000024844","Banf1","23825"
"ENSMUSG00000024841 - Eif1ad","ENSMUSG00000024841","Eif1ad","69860"
"ENSMUSG00000039148 - Sart1","ENSMUSG00000039148","Sart1","20227"
"ENSMUSG00000039330 - Tsga10ip","ENSMUSG00000039330","Tsga10ip","78306"
"ENSMUSG00000086938 - 4930481A15Rik","ENSMUSG00000086938","4930481A15Rik","74931"
"ENSMUSG00000024914 - Drap1","ENSMUSG00000024914","Drap1","66556"
"ENSMUSG00000047423 - AI837181","ENSMUSG00000047423","AI837181","107242"
"ENSMUSG00000117771 - Gm25432","ENSMUSG00000117771","Gm25432","102635008"
"ENSMUSG00000024912 - Fosl1","ENSMUSG00000024912","Fosl1","14283"
"ENSMUSG00000095098 - Ccdc85b","ENSMUSG00000095098","Ccdc85b","240514"
"ENSMUSG00000024911 - Fibp","ENSMUSG00000024911","Fibp","58249"
"ENSMUSG00000024910 - Ctsw","ENSMUSG00000024910","Ctsw","13041"
"ENSMUSG00000024909 - Efemp2","ENSMUSG00000024909","Efemp2","58859"
"ENSMUSG00000024906 - Mus81","ENSMUSG00000024906","Mus81","71711"
"ENSMUSG00000056201 - Cfl1","ENSMUSG00000056201","Cfl1","12631"
"ENSMUSG00000056185 - Snx32","ENSMUSG00000056185","Snx32","225861"
"ENSMUSG00000109695 - Gm31166","ENSMUSG00000109695","Gm31166","102633307"
"ENSMUSG00000024922 - Ovol1","ENSMUSG00000024922","Ovol1","18426"
"ENSMUSG00000049562 - Ap5b1","ENSMUSG00000049562","Ap5b1","381201"
"ENSMUSG00000024925 - Rnaseh2c","ENSMUSG00000024925","Rnaseh2c","68209"
"ENSMUSG00000024926 - Kat5","ENSMUSG00000024926","Kat5","81601"
"ENSMUSG00000024927 - Rela","ENSMUSG00000024927","Rela","19697"
"ENSMUSG00000056917 - Sipa1","ENSMUSG00000056917","Sipa1","20469"
"ENSMUSG00000054874 - Pcnx3","ENSMUSG00000054874","Pcnx3","104401"
"ENSMUSG00000004054 - Map3k11","ENSMUSG00000004054","Map3k11","26403"
"ENSMUSG00000024936 - Kcnk7","ENSMUSG00000024936","Kcnk7","16530"
"ENSMUSG00000024937 - Ehbp1l1","ENSMUSG00000024937","Ehbp1l1","114601"
"ENSMUSG00000024939 - Fam89b","ENSMUSG00000024939","Fam89b","17826"
"ENSMUSG00000079478 - Znrd2","ENSMUSG00000079478","Znrd2","56390"
"ENSMUSG00000024940 - Ltbp3","ENSMUSG00000024940","Ltbp3","16998"
"ENSMUSG00000024941 - Scyl1","ENSMUSG00000024941","Scyl1","78891"
"ENSMUSG00000092341 - Malat1","ENSMUSG00000092341","Malat1","72289"
"ENSMUSG00000092274 - Neat1","ENSMUSG00000092274","Neat1","66961"
"ENSMUSG00000024816 - Frmd8","ENSMUSG00000024816","Frmd8","67457"
"ENSMUSG00000024818 - Slc25a45","ENSMUSG00000024818","Slc25a45","107375"
"ENSMUSG00000044390 - Tigd3","ENSMUSG00000044390","Tigd3","332359"
"ENSMUSG00000024826 - Dpf2","ENSMUSG00000024826","Dpf2","19708"
"ENSMUSG00000110156 - Gm42067","ENSMUSG00000110156","Gm42067","105246846"
"ENSMUSG00000045664 - Cdc42ep2","ENSMUSG00000045664","Cdc42ep2","104252"
"ENSMUSG00000024833 - Pola2","ENSMUSG00000024833","Pola2","18969"
"ENSMUSG00000037451 - Slc22a20","ENSMUSG00000037451","Slc22a20","381203"
"ENSMUSG00000024942 - Capn1","ENSMUSG00000024942","Capn1","12333"
"ENSMUSG00000097404 - Gm10814","ENSMUSG00000097404","Gm10814","100502985"
"ENSMUSG00000024807 - Syvn1","ENSMUSG00000024807","Syvn1","74126"
"ENSMUSG00000007338 - Mrpl49","ENSMUSG00000007338","Mrpl49","18120"
"ENSMUSG00000038274 - Fau","ENSMUSG00000038274","Fau","14109"
"ENSMUSG00000075227 - Znhit2","ENSMUSG00000075227","Znhit2","29805"
"ENSMUSG00000024799 - Tm7sf2","ENSMUSG00000024799","Tm7sf2","73166"
"ENSMUSG00000024797 - Vps51","ENSMUSG00000024797","Vps51","68505"
"ENSMUSG00000047733 - Tmem262","ENSMUSG00000047733","Tmem262","433215"
"ENSMUSG00000024792 - Zfpl1","ENSMUSG00000024792","Zfpl1","81909"
"ENSMUSG00000024791 - Cdca5","ENSMUSG00000024791","Cdca5","67849"
"ENSMUSG00000117666 - Gm550","ENSMUSG00000117666","Gm550","225852"
"ENSMUSG00000054999 - Naaladl1","ENSMUSG00000054999","Naaladl1","381204"
"ENSMUSG00000024790 - Sac3d1","ENSMUSG00000024790","Sac3d1","66406"
"ENSMUSG00000024787 - Snx15","ENSMUSG00000024787","Snx15","69024"
"ENSMUSG00000024944 - Arl2","ENSMUSG00000024944","Arl2","56327"
"ENSMUSG00000039699 - Batf2","ENSMUSG00000039699","Batf2","74481"
"ENSMUSG00000024786 - Majin","ENSMUSG00000024786","Majin","622554"
"ENSMUSG00000024784 - Gpha2","ENSMUSG00000024784","Gpha2","170458"
"ENSMUSG00000024777 - Ppp2r5b","ENSMUSG00000024777","Ppp2r5b","225849"
"ENSMUSG00000024773 - Atg2a","ENSMUSG00000024773","Atg2a","329015"
"ENSMUSG00000065582 - Mir194-2","ENSMUSG00000065582","Mir194-2","723957"
"ENSMUSG00000065523 - Mir192","ENSMUSG00000065523","Mir192","387187"
"ENSMUSG00000085196 - Gm14963","ENSMUSG00000085196","Gm14963","105246847"
"ENSMUSG00000024772 - Ehd1","ENSMUSG00000024772","Ehd1","13660"
"ENSMUSG00000024769 - Cdc42bpg","ENSMUSG00000024769","Cdc42bpg","240505"
"ENSMUSG00000024947 - Men1","ENSMUSG00000024947","Men1","17283"
"ENSMUSG00000024948 - Map4k2","ENSMUSG00000024948","Map4k2","26412"
"ENSMUSG00000079467 - Gm14966","ENSMUSG00000079467","Gm14966","102634533"
"ENSMUSG00000024949 - Sf1","ENSMUSG00000024949","Sf1","22668"
"ENSMUSG00000032648 - Pygm","ENSMUSG00000032648","Pygm","19309"
"ENSMUSG00000032946 - Rasgrp2","ENSMUSG00000032946","Rasgrp2","19395"
"ENSMUSG00000033768 - Nrxn2","ENSMUSG00000033768","Nrxn2","18190"
"ENSMUSG00000047810 - Ccdc88b","ENSMUSG00000047810","Ccdc88b","78317"
"ENSMUSG00000024953 - Prdx5","ENSMUSG00000024953","Prdx5","54683"
"ENSMUSG00000038812 - Trmt112","ENSMUSG00000038812","Trmt112","67674"
"ENSMUSG00000024955 - Esrra","ENSMUSG00000024955","Esrra","26379"
"ENSMUSG00000050623 - Catsperz","ENSMUSG00000050623","Catsperz","67077"
"ENSMUSG00000024957 - Kcnk4","ENSMUSG00000024957","Kcnk4","16528"
"ENSMUSG00000024958 - Gpr137","ENSMUSG00000024958","Gpr137","107173"
"ENSMUSG00000024959 - Bad","ENSMUSG00000024959","Bad","12015"
"ENSMUSG00000024960 - Plcb3","ENSMUSG00000024960","Plcb3","18797"
"ENSMUSG00000056612 - Ppp1r14b","ENSMUSG00000056612","Ppp1r14b","18938"
"ENSMUSG00000056629 - Fkbp2","ENSMUSG00000056629","Fkbp2","14227"
"ENSMUSG00000024962 - Vegfb","ENSMUSG00000024962","Vegfb","22340"
"ENSMUSG00000024963 - Dnajc4","ENSMUSG00000024963","Dnajc4","57431"
"ENSMUSG00000037349 - Nudt22","ENSMUSG00000037349","Nudt22","68323"
"ENSMUSG00000047656 - Trpt1","ENSMUSG00000047656","Trpt1","107328"
"ENSMUSG00000024965 - Fermt3","ENSMUSG00000024965","Fermt3","108101"
"ENSMUSG00000024966 - Stip1","ENSMUSG00000024966","Stip1","20867"
"ENSMUSG00000036278 - Macrod1","ENSMUSG00000036278","Macrod1","107227"
"ENSMUSG00000047787 - Flrt1","ENSMUSG00000047787","Flrt1","396184"
"ENSMUSG00000024767 - Otub1","ENSMUSG00000024767","Otub1","107260"
"ENSMUSG00000035885 - Cox8a","ENSMUSG00000035885","Cox8a","12868"
"ENSMUSG00000024764 - Naa40","ENSMUSG00000024764","Naa40","70999"
"ENSMUSG00000024968 - Rcor2","ENSMUSG00000024968","Rcor2","104383"
"ENSMUSG00000024969 - Mark2","ENSMUSG00000024969","Mark2","13728"
"ENSMUSG00000024970 - Spindoc","ENSMUSG00000024970","Spindoc","68229"
"ENSMUSG00000053080 - Zfta","ENSMUSG00000053080","Zfta","108899"
"ENSMUSG00000024758 - Rtn3","ENSMUSG00000024758","Rtn3","20168"
"ENSMUSG00000024759 - Atl3","ENSMUSG00000024759","Atl3","109168"
"ENSMUSG00000060675 - Plaat3","ENSMUSG00000060675","Plaat3","225845"
"ENSMUSG00000024972 - Lgals12","ENSMUSG00000024972","Lgals12","56072"
"ENSMUSG00000024973 - Plaat5","ENSMUSG00000024973","Plaat5","66727"
"ENSMUSG00000118220 - Gm6192","ENSMUSG00000118220","Gm6192","620946"
"ENSMUSG00000075044 - Slc22a29","ENSMUSG00000075044","Slc22a29","236293"
"ENSMUSG00000117877 - Gm8184","ENSMUSG00000117877","Gm8184","666601"
"ENSMUSG00000032773 - Chrm1","ENSMUSG00000032773","Chrm1","12669"
"ENSMUSG00000010095 - Slc3a2","ENSMUSG00000010095","Slc3a2","17254"
"ENSMUSG00000042729 - Wdr74","ENSMUSG00000042729","Wdr74","107071"
"ENSMUSG00000090840 - Tex54","ENSMUSG00000090840","Tex54","74307"
"ENSMUSG00000010110 - Stx5a","ENSMUSG00000010110","Stx5a","56389"
"ENSMUSG00000010097 - Nxf1","ENSMUSG00000010097","Nxf1","53319"
"ENSMUSG00000117924 - Tmem223","ENSMUSG00000117924","Tmem223","66836"
"ENSMUSG00000118346 - Tmem179b","ENSMUSG00000118346","Tmem179b","67706"
"ENSMUSG00000003680 - Taf6l","ENSMUSG00000003680","Taf6l","225895"
"ENSMUSG00000071662 - Polr2g","ENSMUSG00000071662","Polr2g","67710"
"ENSMUSG00000071661 - Zbtb3","ENSMUSG00000071661","Zbtb3","75291"
"ENSMUSG00000071660 - Ttc9c","ENSMUSG00000071660","Ttc9c","70387"
"ENSMUSG00000071659 - Hnrnpul2","ENSMUSG00000071659","Hnrnpul2","68693"
"ENSMUSG00000071658 - Gng3","ENSMUSG00000071658","Gng3","14704"
"ENSMUSG00000071657 - Bscl2","ENSMUSG00000071657","Bscl2","14705"
"ENSMUSG00000071656 - Lrrn4cl","ENSMUSG00000071656","Lrrn4cl","68852"
"ENSMUSG00000071655 - Ubxn1","ENSMUSG00000071655","Ubxn1","225896"
"ENSMUSG00000071654 - Uqcc3","ENSMUSG00000071654","Uqcc3","107197"
"ENSMUSG00000096740 - Lbhd1","ENSMUSG00000096740","Lbhd1","102308570"
"ENSMUSG00000070167 - Snora57","ENSMUSG00000070167","Snora57","118027464"
"ENSMUSG00000071653 - 1810009A15Rik","ENSMUSG00000071653","1810009A15Rik","66276"
"ENSMUSG00000071652 - Ints5","ENSMUSG00000071652","Ints5","109077"
"ENSMUSG00000071650 - Ganab","ENSMUSG00000071650","Ganab","14376"
"ENSMUSG00000071649 - B3gat3","ENSMUSG00000071649","B3gat3","72727"
"ENSMUSG00000071648 - Rom1","ENSMUSG00000071648","Rom1","19881"
"ENSMUSG00000071647 - Eml3","ENSMUSG00000071647","Eml3","225898"
"ENSMUSG00000071646 - Mta2","ENSMUSG00000071646","Mta2","23942"
"ENSMUSG00000071645 - Tut1","ENSMUSG00000071645","Tut1","70044"
"ENSMUSG00000071644 - Eef1g","ENSMUSG00000071644","Eef1g","67160"
"ENSMUSG00000069833 - Ahnak","ENSMUSG00000069833","Ahnak","66395"
"ENSMUSG00000024653 - Scgb1a1","ENSMUSG00000024653","Scgb1a1","22287"
"ENSMUSG00000024654 - Asrgl1","ENSMUSG00000024654","Asrgl1","66514"
"ENSMUSG00000117804 - Gm6252","ENSMUSG00000117804","Gm6252","621699"
"ENSMUSG00000024660 - Incenp","ENSMUSG00000024660","Incenp","16319"
"ENSMUSG00000118100 - Gm50340","ENSMUSG00000118100","Gm50340","115489003"
"ENSMUSG00000024661 - Fth1","ENSMUSG00000024661","Fth1","14319"
"ENSMUSG00000037418 - Best1","ENSMUSG00000037418","Best1","24115"
"ENSMUSG00000024663 - Rab3il1","ENSMUSG00000024663","Rab3il1","74760"
"ENSMUSG00000024664 - Fads3","ENSMUSG00000024664","Fads3","60527"
"ENSMUSG00000024665 - Fads2","ENSMUSG00000024665","Fads2","56473"
"ENSMUSG00000010663 - Fads1","ENSMUSG00000010663","Fads1","76267"
"ENSMUSG00000024742 - Fen1","ENSMUSG00000024742","Fen1","14156"
"ENSMUSG00000036372 - Tmem258","ENSMUSG00000036372","Tmem258","69038"
"ENSMUSG00000036098 - Myrf","ENSMUSG00000036098","Myrf","225908"
"ENSMUSG00000035735 - Dagla","ENSMUSG00000035735","Dagla","269060"
"ENSMUSG00000024743 - Syt7","ENSMUSG00000024743","Syt7","54525"
"ENSMUSG00000090291 - Lrrc10b","ENSMUSG00000090291","Lrrc10b","278795"
"ENSMUSG00000035179 - Saxo4","ENSMUSG00000035179","Saxo4","67752"
"ENSMUSG00000024668 - Sdhaf2","ENSMUSG00000024668","Sdhaf2","66072"
"ENSMUSG00000034820 - Cpsf7","ENSMUSG00000034820","Cpsf7","269061"
"ENSMUSG00000024667 - Tmem216","ENSMUSG00000024667","Tmem216","68642"
"ENSMUSG00000024666 - Tmem138","ENSMUSG00000024666","Tmem138","72982"
"ENSMUSG00000034445 - Cyb561a3","ENSMUSG00000034445","Cyb561a3","225912"
"ENSMUSG00000034371 - Tkfc","ENSMUSG00000034371","Tkfc","225913"
"ENSMUSG00000024740 - Ddb1","ENSMUSG00000024740","Ddb1","13194"
"ENSMUSG00000043789 - Vwce","ENSMUSG00000043789","Vwce","71768"
"ENSMUSG00000048832 - Vps37c","ENSMUSG00000048832","Vps37c","107305"
"ENSMUSG00000024669 - Cd5","ENSMUSG00000024669","Cd5","12507"
"ENSMUSG00000067577 - A430093F15Rik","ENSMUSG00000067577","A430093F15Rik","403202"
"ENSMUSG00000024670 - Cd6","ENSMUSG00000024670","Cd6","12511"
"ENSMUSG00000024737 - Slc15a3","ENSMUSG00000024737","Slc15a3","65221"
"ENSMUSG00000024736 - Tmem132a","ENSMUSG00000024736","Tmem132a","98170"
"ENSMUSG00000034659 - Tmem109","ENSMUSG00000034659","Tmem109","68539"
"ENSMUSG00000024735 - Prpf19","ENSMUSG00000024735","Prpf19","28000"
"ENSMUSG00000024734 - Zp1","ENSMUSG00000024734","Zp1","22786"
"ENSMUSG00000034117 - Ptgdr2","ENSMUSG00000034117","Ptgdr2","14764"
"ENSMUSG00000024732 - Ccdc86","ENSMUSG00000024732","Ccdc86","108673"
"ENSMUSG00000024731 - Ms4a10","ENSMUSG00000024731","Ms4a10","69826"
"ENSMUSG00000067571 - Ms4a15","ENSMUSG00000067571","Ms4a15","545279"
"ENSMUSG00000094584 - Ms4a18","ENSMUSG00000094584","Ms4a18","76002"
"ENSMUSG00000075010 - AW112010","ENSMUSG00000075010","AW112010","107350"
"ENSMUSG00000024730 - Ms4a8a","ENSMUSG00000024730","Ms4a8a","64381"
"ENSMUSG00000101439 - Gm336","ENSMUSG00000101439","Gm336","240539"
"ENSMUSG00000099998 - Gm6501","ENSMUSG00000099998","Gm6501","624395"
"ENSMUSG00000024728 - Ms4a19","ENSMUSG00000024728","Ms4a19","69416"
"ENSMUSG00000097091 - 4930526L06Rik","ENSMUSG00000097091","4930526L06Rik","75138"
"ENSMUSG00000101031 - Ms4a12","ENSMUSG00000101031","Ms4a12","381213"
"ENSMUSG00000024673 - Ms4a1","ENSMUSG00000024673","Ms4a1","12482"
"ENSMUSG00000054523 - Ms4a5","ENSMUSG00000054523","Ms4a5","269063"
"ENSMUSG00000099398 - Ms4a14","ENSMUSG00000099398","Ms4a14","383435"
"ENSMUSG00000024672 - Ms4a7","ENSMUSG00000024672","Ms4a7","109225"
"ENSMUSG00000101389 - Ms4a4a","ENSMUSG00000101389","Ms4a4a","666907"
"ENSMUSG00000024675 - Ms4a4c","ENSMUSG00000024675","Ms4a4c","64380"
"ENSMUSG00000056290 - Ms4a4b","ENSMUSG00000056290","Ms4a4b","60361"
"ENSMUSG00000079419 - Ms4a6c","ENSMUSG00000079419","Ms4a6c","73656"
"ENSMUSG00000058470 - Gm8369","ENSMUSG00000058470","Gm8369","666926"
"ENSMUSG00000024677 - Ms4a6b","ENSMUSG00000024677","Ms4a6b","69774"
"ENSMUSG00000024678 - Ms4a4d","ENSMUSG00000024678","Ms4a4d","66607"
"ENSMUSG00000024679 - Ms4a6d","ENSMUSG00000024679","Ms4a6d","68774"
"ENSMUSG00000024680 - Ms4a2","ENSMUSG00000024680","Ms4a2","14126"
"ENSMUSG00000041857 - Oosp1","ENSMUSG00000041857","Oosp1","170834"
"ENSMUSG00000024682 - Cblif","ENSMUSG00000024682","Cblif","14603"
"ENSMUSG00000024683 - Mrpl16","ENSMUSG00000024683","Mrpl16","94063"
"ENSMUSG00000041488 - Stx3","ENSMUSG00000041488","Stx3","20908"
"ENSMUSG00000048292 - Or10v5","ENSMUSG00000048292","Or10v5","258938"
"ENSMUSG00000060878 - Or10v1","ENSMUSG00000060878","Or10v1","258405"
"ENSMUSG00000046139 - Patl1","ENSMUSG00000046139","Patl1","225929"
"ENSMUSG00000024687 - Osbp","ENSMUSG00000024687","Osbp","76303"
"ENSMUSG00000046805 - Mpeg1","ENSMUSG00000046805","Mpeg1","17476"
"ENSMUSG00000039982 - Dtx4","ENSMUSG00000039982","Dtx4","207521"
"ENSMUSG00000086213 - A330040F15Rik","ENSMUSG00000086213","A330040F15Rik","74333"
"ENSMUSG00000111118 - Gm6545","ENSMUSG00000111118","Gm6545","625046"
"ENSMUSG00000024691 - Fam111a","ENSMUSG00000024691","Fam111a","107373"
"ENSMUSG00000071633 - Gm4952","ENSMUSG00000071633","Gm4952","240549"
"ENSMUSG00000063683 - Glyat","ENSMUSG00000063683","Glyat","107146"
"ENSMUSG00000079415 - Cntf","ENSMUSG00000079415","Cntf","12803"
"ENSMUSG00000024695 - Zfp91","ENSMUSG00000024695","Zfp91","109910"
"ENSMUSG00000024696 - Lpxn","ENSMUSG00000024696","Lpxn","107321"
"ENSMUSG00000024642 - Tle4","ENSMUSG00000024642","Tle4","21888"
"ENSMUSG00000024640 - Psat1","ENSMUSG00000024640","Psat1","107272"
"ENSMUSG00000041491 - Cep78","ENSMUSG00000041491","Cep78","208518"
"ENSMUSG00000097557 - C130060C02Rik","ENSMUSG00000097557","C130060C02Rik","100502653"
"ENSMUSG00000024639 - Gnaq","ENSMUSG00000024639","Gnaq","14682"
"ENSMUSG00000078528 - Gm17068","ENSMUSG00000078528","Gm17068","100158259"
"ENSMUSG00000024697 - Gna14","ENSMUSG00000024697","Gna14","14675"
"ENSMUSG00000046230 - Vps13a","ENSMUSG00000046230","Vps13a","271564"
"ENSMUSG00000039126 - Prune2","ENSMUSG00000039126","Prune2","353211"
"ENSMUSG00000038843 - Gcnt1","ENSMUSG00000038843","Gcnt1","14537"
"ENSMUSG00000024712 - Rfk","ENSMUSG00000024712","Rfk","54391"
"ENSMUSG00000024713 - Pcsk5","ENSMUSG00000024713","Pcsk5","18552"
"ENSMUSG00000024725 - Ostf1","ENSMUSG00000024725","Ostf1","20409"
"ENSMUSG00000037847 - Nmrk1","ENSMUSG00000037847","Nmrk1","225994"
"ENSMUSG00000024726 - Carnmt1","ENSMUSG00000024726","Carnmt1","67383"
"ENSMUSG00000047044 - D030056L22Rik","ENSMUSG00000047044","D030056L22Rik","225995"
"ENSMUSG00000024727 - Trpm6","ENSMUSG00000024727","Trpm6","225997"
"ENSMUSG00000036192 - Rorb","ENSMUSG00000036192","Rorb","225998"
"ENSMUSG00000094732 - 1500015L24Rik","ENSMUSG00000094732","1500015L24Rik","68994"
"ENSMUSG00000024659 - Anxa1","ENSMUSG00000024659","Anxa1","16952"
"ENSMUSG00000053279 - Aldh1a1","ENSMUSG00000053279","Aldh1a1","11668"
"ENSMUSG00000024747 - Aldh1a7","ENSMUSG00000024747","Aldh1a7","26358"
"ENSMUSG00000024749 - Tmc1","ENSMUSG00000024749","Tmc1","13409"
"ENSMUSG00000118047 - 4930554I06Rik","ENSMUSG00000118047","4930554I06Rik","75354"
"ENSMUSG00000024750 - Zfand5","ENSMUSG00000024750","Zfand5","22682"
"ENSMUSG00000058624 - Gda","ENSMUSG00000058624","Gda","14544"
"ENSMUSG00000035171 - 1110059E24Rik","ENSMUSG00000035171","1110059E24Rik","66206"
"ENSMUSG00000047368 - Abhd17b","ENSMUSG00000047368","Abhd17b","226016"
"ENSMUSG00000024754 - Cemip2","ENSMUSG00000024754","Cemip2","83921"
"ENSMUSG00000052387 - Trpm3","ENSMUSG00000052387","Trpm3","226025"
"ENSMUSG00000033863 - Klf9","ENSMUSG00000033863","Klf9","16601"
"ENSMUSG00000024943 - Smc5","ENSMUSG00000024943","Smc5","226026"
"ENSMUSG00000033207 - Mamdc2","ENSMUSG00000033207","Mamdc2","71738"
"ENSMUSG00000044424 - Gm9493","ENSMUSG00000044424","Gm9493","102638448"
"ENSMUSG00000074925 - Ptar1","ENSMUSG00000074925","Ptar1","72351"
"ENSMUSG00000024897 - Apba1","ENSMUSG00000024897","Apba1","319924"
"ENSMUSG00000071604 - Entrep1","ENSMUSG00000071604","Entrep1","381217"
"ENSMUSG00000024812 - Tjp2","ENSMUSG00000024812","Tjp2","21873"
